Name,Knockdown,Significant_Strikes_Landed,Significant_Strikes_Attempted,Significant_Strike_%,Total_Strikes_Landed,Total_Strikes_Attempted,Takedowns_Landed,Takedowns_Attempted,Takedowns_Percent,Submission_Attempts,REV,Control_Time,Head_Landed,Head_Attempted,Body_Landed,Body_Attempted,Leg_Landed,Leg_Attempted,Distance_Landed,Distance_Attempted,Clinch_Landed,Clinch_Attempted,Ground_Landed,Ground_Attempted,Winner
Julian Erosa,0,4,11,36%,11,21,0,0,---,1,0,0,2,8,2,3,0,0,4,11,0,0,0,0,W
Miles Johns,0,25,79,31%,64,137,2,8,25%,0,1,389,18,66,5,9,2,4,20,72,4,6,1,1,W
Cody Gibson,0,18,62,29%,52,108,1,7,14%,0,0,115,9,39,4,17,5,6,16,60,2,2,0,0,L
Jarno Errens,1,105,207,50%,106,208,0,1,0%,0,0,12,51,139,29,38,25,30,103,203,2,4,0,0,W
Steven Nguyen,0,63,226,27%,63,227,1,1,100%,0,0,23,47,187,8,16,8,23,59,219,1,1,3,6,L
Montserrat Rendon,0,25,147,17%,28,156,3,6,50%,0,0,324,19,134,4,11,2,2,25,137,0,8,0,2,L
Daria Zhelezniakova,0,57,150,38%,73,171,0,0,---,0,0,1,36,125,21,25,0,0,51,144,6,6,0,0,W
Igor Severino,0,36,78,46%,40,85,5,9,55%,0,0,180,17,55,9,13,10,10,31,71,4,5,1,2,L
Andre Lima,0,30,58,51%,38,66,1,2,50%,2,0,24,16,40,8,12,6,6,29,56,1,2,0,0,W
Mohammed Usman,0,57,167,34%,57,168,0,0,---,0,0,0,26,114,30,52,1,1,57,167,0,0,0,0,L
Mick Parkin,0,72,150,48%,72,150,0,0,---,0,0,0,37,109,4,4,31,37,71,149,1,1,0,0,W
Tai Tuivasa,0,15,24,62%,18,27,0,0,---,0,0,0,9,17,1,2,5,5,8,17,7,7,0,0,L
Marcin Tybura,0,27,41,65%,73,96,1,4,25%,1,0,168,23,34,4,7,0,0,8,20,0,0,19,21,W
Bryan Battle,0,27,75,36%,28,78,1,2,50%,0,0,93,16,56,10,18,1,1,24,69,3,5,0,1,NC
Ange Loosa,0,23,54,42%,26,58,0,1,0%,0,0,0,6,34,8,9,9,11,22,53,1,1,0,0,NC
Bryan Battle,0,27,75,36%,28,78,1,2,50%,0,0,93,16,56,10,18,1,1,24,69,3,5,0,1,NC
Ange Loosa,0,23,54,42%,26,58,0,1,0%,0,0,0,6,34,8,9,9,11,22,53,1,1,0,0,NC
